frame_idx,time_sec,bilateral_leg_straddle_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
39,1.300900852878465,54.689724,True,True,0.9971771240234375,0.996680498123169,268.75069427490234,False
40,1.3342572850035537,55.13301,True,True,0.9971921443939209,0.9964538216590881,268.4799642562866,False
41,1.3676137171286424,55.38315,True,True,0.9972083568572998,0.9963682889938354,267.98398542404175,False
42,1.4009701492537314,55.45456,True,True,0.997204065322876,0.9963793754577637,267.92415046691895,False
43,1.4343265813788202,55.642,True,True,0.9971505403518677,0.9963018298149109,267.8877682685852,False
44,1.467683013503909,55.670555,True,True,0.9971664547920227,0.9963354468345642,268.48060035705566,False
45,1.501039445628998,55.485775,True,True,0.9971586465835571,0.9963671565055847,268.97635793685913,False
46,1.5343958777540867,55.341312,True,True,0.9971582293510437,0.9963422417640686,269.1874327659607,False
47,1.5677523098791755,55.262283,True,True,0.9971718788146973,0.9963642954826355,269.1652660369873,False
48,1.6011087420042645,55.244873,True,True,0.997214138507843,0.9964230060577393,269.1884422302246,False
49,1.6344651741293532,55.29644,True,True,0.9972739815711975,0.9964766502380371,268.91511249542236,False
50,1.667821606254442,55.33067,True,True,0.9973709583282471,0.9965962767601013,268.40899753570557,False
51,1.701178038379531,55.364166,True,True,0.9974339604377747,0.9967621564865112,268.3253364562988,False
52,1.7345344705046197,55.393204,True,True,0.9972839951515198,0.9967870116233826,268.2711157798767,False
53,1.7678909026297085,55.31611,True,True,0.9971098899841309,0.9968149662017822,268.27746295928955,False
54,1.8012473347547975,55.29049,True,True,0.996971845626831,0.996833324432373,268.3069863319397,False
55,1.8346037668798862,55.28997,True,True,0.9969171285629272,0.9969170093536377,268.3830142021179,False
56,1.8679601990049752,55.33073,True,True,0.9969083070755005,0.9970067143440247,268.4341788291931,False
57,1.901316631130064,55.36157,True,True,0.9968779683113098,0.9970610737800598,268.4383273124695,False
58,1.9346730632551528,55.407787,True,True,0.9968560338020325,0.9971147775650024,268.49875688552856,False
59,1.9680294953802417,55.47147,True,True,0.9968487620353699,0.9971845746040344,268.5583291053772,False
60,2.0013859275053303,55.641785,True,True,0.9968514442443848,0.9972724914550781,268.60954904556274,False
61,2.0347423596304193,55.760597,True,True,0.9968190789222717,0.9973487854003906,268.7318048477173,False
62,2.0680987917555083,55.83728,True,True,0.9967565536499023,0.9973964691162109,268.74156761169434,False
63,2.101455223880597,55.87463,True,True,0.9967039823532104,0.9974307417869568,268.7396731376648,False
64,2.134811656005686,55.89179,True,True,0.9966523051261902,0.9974534511566162,268.7474584579468,False
